barcode;name;category;price_in;price_out;stock;unit;image_path
SP001;Coca Cola lon 320ml;Nước giải khát;20000;26000;246;lon;
SP002;Coca Cola chai 390ml;Nước giải khát;10000;13500;170;chai;
SP003;Pepsi lon 320ml;Nước giải khát;40000;53000;229;lon;
SP004;Pepsi chai 390ml;Nước giải khát;3000;3500;17;chai;
SP005;7Up lon 320ml;Nước giải khát;20000;24500;278;lon;
SP006;7Up chai 390ml;Nước giải khát;15000;18000;226;chai;
SP007;Mirinda cam lon 320ml;Nước giải khát;20000;26000;154;lon;
SP008;Mirinda cam chai 390ml;Nước giải khát;15000;18000;64;chai;
SP009;Mirinda xá xị lon 320ml;Nước giải khát;8000;9500;259;lon;
SP010;Mirinda xá xị chai 390ml;Nước giải khát;25000;32500;132;chai;
SP011;Sting dâu lon 320ml;Nước giải khát;8000;10000;56;lon;
SP012;Sting dâu chai 390ml;Nước giải khát;30000;40000;178;chai;
SP013;Sting vàng lon 320ml;Nước giải khát;25000;33500;284;lon;
SP014;Sting vàng chai 390ml;Nước giải khát;15000;19500;226;chai;
SP015;Redbull lon 320ml;Nước giải khát;10000;12500;62;lon;
SP016;Redbull chai 390ml;Nước giải khát;5000;6500;117;chai;
SP017;Monster lon 320ml;Nước giải khát;3000;3500;116;lon;
SP018;Monster chai 390ml;Nước giải khát;3000;4000;139;chai;
SP019;Trà xanh Không Độ lon 320ml;Nước giải khát;25000;29000;57;lon;
SP020;Trà xanh Không Độ chai 390ml;Nước giải khát;25000;29000;269;chai;
SP021;Trà Olong Tea Plus lon 320ml;Nước giải khát;75000;96000;160;lon;
SP022;Trà Olong Tea Plus chai 390ml;Nước giải khát;20000;24500;84;chai;
SP023;Nước khoáng Lavie lon 320ml;Nước giải khát;15000;19000;87;lon;
SP024;Nước khoáng Lavie chai 390ml;Nước giải khát;50000;60500;277;chai;
SP025;Nước tinh khiết Aquafina lon 320ml;Nước giải khát;20000;25500;124;lon;
SP026;Nước tinh khiết Aquafina chai 390ml;Nước giải khát;5000;6500;92;chai;
SP027;Nước ép Vfresh lon 320ml;Nước giải khát;40000;47500;266;lon;
SP028;Nước ép Vfresh chai 390ml;Nước giải khát;20000;26000;240;chai;
SP029;Trà bí đao Wonderfarm lon 320ml;Nước giải khát;20000;25000;269;lon;
SP030;Trà bí đao Wonderfarm chai 390ml;Nước giải khát;15000;17500;290;chai;
SP031;Mì Hảo Hảo tôm chua cay gói 75g;Mì ăn liền;30000;39000;47;gói;
SP032;Mì Hảo Hảo tôm chua cay thùng 30 gói;Mì ăn liền;200000;261000;183;thùng;
SP033;Mì Hảo Hảo sườn heo tỏi phi gói 75g;Mì ăn liền;25000;29500;167;gói;
SP034;Mì Hảo Hảo sườn heo tỏi phi thùng 30 gói;Mì ăn liền;200000;248000;154;thùng;
SP035;Mì Hảo Hảo xào tôm hành gói 75g;Mì ăn liền;20000;23500;120;gói;
